;================================================= ~~ LFFF/LFPG/Gates ~~ =================================================;
N049.00.49.270:E002.30.17.740:LFPG Gates:I04
N048.59.47.823:E002.32.11.108:LFPG Taxiways:C
N048.59.39.076:E002.32.04.781:LFPG Taxiways:C
N048.59.29.051:E002.32.05.949:LFPG Taxiways:C
N048.59.24.454:E002.32.11.303:LFPG Taxiways:C1
N048.59.35.181:E002.32.09.454:LFPG Taxiways:C2
N048.59.23.752:E002.32.04.003:LFPG Taxiways:UC1
N048.59.32.435:E002.32.02.932:LFPG Taxiways:UC2
N048.59.45.480:E002.32.03.990:LFPG Taxiways:UC3
N048.59.52.930:E002.32.13.542:LFPG Taxiways:UC4
N048.59.55.484:E002.32.32.718:LFPG Taxiways:UC5
N048.59.56.634:E002.32.53.256:LFPG Taxiways:UT1
N048.59.53.060:E002.32.53.910:LFPG Taxiways:UT1
N048.59.56.953:E002.32.59.778:LFPG Taxiways:UT2
N048.59.53.530:E002.33.01.610:LFPG Taxiways:UT2
N048.59.57.336:E002.33.06.884:LFPG Taxiways:UT3
N048.59.53.870:E002.33.08.490:LFPG Taxiways:UT3
N048.59.57.719:E002.33.13.600:LFPG Taxiways:UT4
N048.59.54.290:E002.33.15.260:LFPG Taxiways:UT4
N048.59.46.743:E002.33.08.109:LFPG Taxiways:T1
N048.59.47.126:E002.33.17.356:LFPG Taxiways:T2
N048.59.47.445:E002.33.29.524:LFPG Taxiways:T3
N048.59.47.892:E002.33.37.311:LFPG Taxiways:T4
N048.59.48.211:E002.33.46.266:LFPG Taxiways:T5
N048.59.49.416:E002.33.58.176:LFPG Taxiways:T6
N048.59.54.377:E002.35.47.596:LFPG Taxiways:T9
N048.59.55.075:E002.35.57.786:LFPG Taxiways:T10
N048.59.55.574:E002.36.06.608:LFPG Taxiways:T11
N048.59.55.873:E002.36.12.691:LFPG Taxiways:T12
N049.00.00.088:E002.36.36.627:LFPG Taxiways:R1
N048.59.49.377:E002.33.52.520:LFPG Taxiways:W1
N048.59.51.164:E002.34.15.784:LFPG Taxiways:W2
N048.59.51.803:E002.34.32.040:LFPG Taxiways:W4
N048.59.55.251:E002.34.38.075:LFPG Taxiways:WT
N048.59.52.314:E002.34.45.278:LFPG Taxiways:W3
N048.59.54.293:E002.35.03.772:LFPG Taxiways:W5
N048.59.54.995:E002.35.27.523:LFPG Taxiways:W6
N048.59.43.962:E002.33.37.863:LFPG Taxiways:S1
N048.59.44.473:E002.33.46.818:LFPG Taxiways:S2
N048.59.44.984:E002.33.58.577:LFPG Taxiways:S3
N048.59.50.963:E002.35.48.436:LFPG Taxiways:S6
N048.59.51.522:E002.35.58.535:LFPG Taxiways:S7
N048.59.51.921:E002.36.05.957:LFPG Taxiways:S9
N048.59.40.668:E002.33.53.576:LFPG Taxiways:S
N048.59.41.546:E002.34.11.948:LFPG Taxiways:S
N048.59.42.583:E002.34.30.565:LFPG Taxiways:S
N048.59.46.015:E002.35.31.888:LFPG Taxiways:S
N048.59.46.654:E002.35.45.029:LFPG Taxiways:S
N048.59.47.053:E002.35.55.249:LFPG Taxiways:S
N048.59.47.452:E002.36.03.158:LFPG Taxiways:S
N049.00.03.370:E002.35.53.590:LFPG Taxiways:SE1
N049.00.03.690:E002.35.59.700:LFPG Taxiways:SE2
N049.00.04.140:E002.36.08.060:LFPG Taxiways:SE3
N049.00.04.480:E002.36.14.190:LFPG Taxiways:SE4
N048.59.51.560:E002.32.54.340:LFPG Taxiways:SW1
N048.59.52.470:E002.33.02.080:LFPG Taxiways:SW2
N048.59.52.810:E002.33.08.890:LFPG Taxiways:SW3
N048.59.53.290:E002.33.15.670:LFPG Taxiways:SW4
N048.59.36.757:E002.33.55.158:LFPG Taxiways:V1
N048.59.36.997:E002.34.01.120:LFPG Taxiways:V2
N048.59.39.152:E002.34.14.504:LFPG Taxiways:V3
N048.59.40.508:E002.34.45.530:LFPG Taxiways:V4
N048.59.42.583:E002.35.18.626:LFPG Taxiways:V5
N048.59.43.780:E002.35.42.717:LFPG Taxiways:V6
N048.59.43.621:E002.35.58.048:LFPG Taxiways:V7
N048.59.44.020:E002.36.07.417:LFPG Taxiways:V9
N049.00.29.583:E002.32.59.474:LFPG Taxiways:MIDDLE 1
N049.00.31.870:E002.33.15.730:LFPG Taxiways:MIDDLE 2
N049.00.40.808:E002.34.44.919:LFPG Taxiways:MIDDLE 3
N049.00.41.407:E002.35.00.889:LFPG Taxiways:MIDDLE 4
N049.00.44.577:E002.29.35.505:LFPG Taxiways:EM1
N049.00.49.236:E002.30.13.132:LFPG Taxiways:EM2
N049.00.50.502:E002.30.33.379:LFPG Taxiways:EM3
N049.00.51.401:E002.30.49.264:LFPG Taxiways:EM4
N049.00.51.606:E002.30.53.314:LFPG Taxiways:EM5
N049.00.52.433:E002.31.07.868:LFPG Taxiways:EM6
N049.00.52.535:E002.31.11.216:LFPG Taxiways:EM7
N049.00.52.842:E002.31.18.147:LFPG Taxiways:EM8
N049.00.46.670:E002.30.20.960:LFPG Taxiways:EM23
N049.01.00.190:E002.30.40.940:LFPG Taxiways:B
N049.01.03.920:E002.32.24.890:LFPG Taxiways:LINK W
N049.00.51.140:E002.30.27.090:LFPG Taxiways:M
N049.00.00.280:E002.33.15.310:LFPG Taxiways:CARGO 1
N048.59.55.010:E002.33.17.610:LFPG Taxiways:CARGO 2
N049.00.56.050:E002.31.01.940:LFPG Taxiways:OUEST
N049.00.59.270:E002.31.12.210:LFPG Taxiways:EST
;=============================================== ~~ LFFF/LFPG/Engine Test Area ~~ ===============================================;
N049.00.57.240:E002.30.59.570:LFPG Engine Test Area:PM1
N049.00.57.460:E002.31.03.800:LFPG Engine Test Area:PM2
N049.00.57.330:E002.31.10.380:LFPG Engine Test Area:PB3
N049.00.57.600:E002.31.14.660:LFPG Engine Test Area:PB4
N049.00.56.542:E002.30.50.352:LFPG Engine Test Area:PBM
N049.00.56.050:E002.31.01.940:LFPG Engine Test Area:OUEST
N049.00.59.270:E002.31.12.210:LFPG Engine Test Area:EST
;=============================================== ~~ LFFF/LFPG/Terminaux ~~ ===============================================;
N049.00.09.573:E002.33.45.295:LFPG Terminaux:2A
N049.00.16.105:E002.33.43.604:LFPG Terminaux:2B
N049.00.09.943:E002.34.01.642:LFPG Terminaux:2C
N049.00.17.215:E002.34.00.891:LFPG Terminaux:2D
N049.00.11.792:E002.34.38.471:LFPG Terminaux:2E
N049.00.19.187:E002.34.36.780:LFPG Terminaux:2F
N049.00.52.341:E002.32.30.510:LFPG Terminaux:1
N049.00.42.580:E002.32.03.760:LFPG Terminaux:Pavillon
N049.00.45.439:E002.33.31.390:LFPG Terminaux:3
N049.00.59.489:E002.34.35.465:LFPG Terminaux:H
N049.00.46.918:E002.34.40.350:LFPG Terminaux:H
N049.00.09.450:E002.32.43.851:LFPG Terminaux:M
N049.00.07.478:E002.32.29.195:LFPG Terminaux:M
N049.00.02.490:E002.32.05.290:LFPG Terminaux:Aerogare de Fret
N049.00.02.460:E002.32.30.330:LFPG Terminaux:AIR FRANCE CARGO
N048.59.57.371:E002.31.52.930:LFPG Terminaux:M
N048.59.45.416:E002.31.48.609:LFPG Terminaux:N
N048.59.37.775:E002.31.50.112:LFPG Terminaux:N
N048.59.28.901:E002.31.51.239:LFPG Terminaux:N
N048.59.30.380:E002.32.24.686:LFPG Terminaux:P
N049.00.43.320:E002.29.54.710:LFPG Terminaux:FEDEX
N048.59.18.460:E002.31.55.310:LFPG Terminaux:FRET 4
N048.59.32.800:E002.32.23.810:LFPG Terminaux:ASL FRANCE
N048.59.28.660:E002.32.30.440:LFPG Terminaux:Chronopost
N049.00.33.020:E002.30.29.240:LFPG Terminaux:Hangar
N049.00.37.670:E002.30.43.660:LFPG Terminaux:Hangar
N049.00.48.660:E002.31.18.280:LFPG Terminaux:Hangar
N049.00.16.598:E002.35.05.717:LFPG Terminaux:S3
N049.00.17.461:E002.35.26.010:LFPG Terminaux:S4
N049.00.19.433:E002.36.08.475:LFPG Terminaux:2G
;=============================================== ~~ LFFF/LFPG/Compagnies ~~ ===============================================;
N049.01.11.290:E002.36.21.722:LFPG Compagnies:SWU SXS TDR TOM TSC TVS USY VLG WPT
N049.01.13.290:E002.36.21.722:LFPG Compagnies:HAT HFM HLJ HYS IBE ISR KLJ LAV LBC LBT MGH MSC NBT NGN NIA NMA NOS OAW PGT QTR SPM
N049.01.15.290:E002.36.21.722:LFPG Compagnies:T3 ABY AEZ AIA AIZ ASL AUR AWC AWG BCI CAT CFG DIR ENT ETH EUP EXS FAD FHY FPY GPX
N049.01.17.290:E002.36.21.722:LFPG Compagnies:T2G AFR LGL
N049.01.19.290:E002.36.21.722:LFPG Compagnies:T2F AFR CXA KLM KQA MAU ROT
N049.01.21.290:E002.36.21.722:LFPG Compagnies:T2E AFR AMX CES DAL HVN JAL KAL MEA
N049.01.23.290:E002.36.21.722:LFPG Compagnies:T2D AEE AIRSERBIA(ASL) CTN DAH EZY FLI IBK KMM LOT NOZ NSZ TGZ THT TVS UZB
N049.01.25.290:E002.36.21.722:LFPG Compagnies:T2C AAL ACA ACI AIB AIC BAW ETH GFA LAT QFA REU RJA SZN UAE VRE
N049.01.27.290:E002.36.21.722:LFPG Compagnies:T2B BTI ELY EZY FIN IGO ITY JBU MAS MNE RAM REU SAS SEH WJA
N049.01.29.290:E002.36.21.722:LFPG Compagnies:ICE IRA KAC LZB MSR OMA PIA QTR RWD RZO SIA SVA SWR TCV THA THY TKJ TWB UAL
N049.01.31.290:E002.36.21.722:LFPG Compagnies:T1 AAR AHY ALK ANA AUA AVA BEL CCA CHH CPA CSN CYP DLH DTH EIN ETD EVA EWG FIA FIE
